Fecha;PM10;PM2-5;Velo-viento;Precipitacion;Direccion;O3;CO;NO;NO2;NOX;SO2;Temperatura;Rdiacion;Humedad R
1/01/2013 1:00;49,3;0;2,1;0;143;6,4;0,4;16,6;25,2;41,8;3,5;11,8;0;0
1/01/2013 2:00;77,8;0;2,2;0;137;4,2;0,5;30,5;25,6;56,1;3,2;10,8;0;0
1/01/2013 3:00;59,8;0;1,5;0;180;3,4;0,6;34;27;61;2,6;10,4;0;0
1/01/2013 4:00;50,7;0;1,7;0;141;2,7;0,5;28,4;27,9;56,3;3,1;10,1;0;0
1/01/2013 5:00;60,5;0;1,2;0;128;1,9;0,7;45,4;29,3;74,6;4,5;9,6;0;0
1/01/2013 6:00;67;0;1,4;0;151;1,5;0,9;64,2;30,9;95;4,6;9,4;0;0
1/01/2013 7:00;57,8;0;1,2;0;163;4,5;0,6;43,1;26,4;69,6;5,1;10;0;0
1/01/2013 8:00;36;0;3,4;0;151;12,1;0,4;30,7;21,3;52;3,8;13,4;0;0
1/01/2013 9:00;29,2;0;3,7;0;156;19,9;0,2;17,7;16,9;34,6;2,5;14,9;0;0
1/01/2013 10:00;19,7;0;3,3;0;172;23,6;0,1;15,7;15,3;31;2,2;17,3;0;0
1/01/2013 11:00;17,8;0;3,5;0;156;24,5;0,2;17,7;15,9;33,6;1,9;19,1;0;0
1/01/2013 12:00;16,3;0;3,3;0;146;24;0,2;20,2;18,8;38,9;1,4;19,6;0;0
1/01/2013 13:00;18;0;4,5;0;158;23,1;0,3;21,2;19;40,2;1,7;20,2;0;0
1/01/2013 14:00;41,2;0;4,9;0;166;23,9;0,3;21,4;18,5;39,9;1,8;21;0;0
1/01/2013 15:00;33,3;0;5;0;167;24,6;0,3;19,6;18,6;38,3;1,7;20,7;0;0
1/01/2013 16:00;38;0;4,3;0;163;26,1;0,3;17,7;19,2;36,9;1,9;20,6;0;0
1/01/2013 17:00;28;0;3,6;0;148;22;0,4;24,5;23,9;48,4;1,4;19,8;0;0
1/01/2013 18:00;28;0;3,6;0;140;19,2;0,4;22,8;26;48,8;2,3;17,8;0;0
1/01/2013 19:00;29,3;0;3,2;0;147;12,1;0,7;36,4;29,8;66,2;2,8;15,8;0;0
1/01/2013 20:00;37,7;0;2,5;0;177;7,2;0,8;57,5;34,4;92;3,3;14,5;0;0
1/01/2013 21:00;46,3;0;2,4;0;169;7,6;0,8;53,3;32,8;86;3,6;13,7;0;0
1/01/2013 22:00;46,3;0;2,8;0;158;5;0,8;63,5;35,8;99,3;3,8;13,3;0;0
1/01/2013 23:00;37,8;0;2,6;0;165;6,3;0,6;52,7;31,4;84,2;2,9;12,3;0;0
2/01/2013 0:00;35;0;2,8;0;153;8,5;0,2;30;26,7;56,7;2;11,5;0;0
2/01/2013 1:00;24;0;2,4;0;133;10,5;0;18,1;21,8;39,9;2;10,6;0;0
2/01/2013 2:00;19,2;0;1,6;0;117;8,9;0,3;30,2;26,7;56,9;2,4;10,4;0;0
2/01/2013 3:00;19,5;0;2;0;118;12,6;0;19,4;23;42,3;2,5;10,7;0;0
2/01/2013 4:00;18;0;2,4;0;150;5,3;0;42;28,6;70,6;3,3;9,4;0;0
2/01/2013 5:00;24,7;0;2,4;0;146;3;0,3;82,4;32,4;114,8;3,4;8,7;0;0
2/01/2013 6:00;37,7;0;1,8;0;149;2,7;0,8;108,5;38;146,4;4,6;9,4;0;0
2/01/2013 7:00;71,3;0;1,1;0;169;2;2;220,4;0;246,7;9,7;10;0;0
2/01/2013 8:00;112,8;0;1,3;0;138;6;1,2;94,8;39,2;134;8,2;13,7;0;0
2/01/2013 9:00;60,2;0;3,3;0;155;12,7;0,6;64,6;30,7;95,3;5;16,3;0;0
2/01/2013 10:00;49,5;0;3,7;0;126;19,3;0,3;31,7;21,2;52,9;3,4;17,5;0;0
2/01/2013 11:00;43,5;0;3,2;0;131;18,3;0,4;36,3;22,7;59;2,8;19,2;0;0
2/01/2013 12:00;52,2;0;4,3;0;166;17,7;0,4;42,1;23,5;65,6;3,1;20,5;0;0
2/01/2013 13:00;59,2;0;4,6;0;177;17,6;0,5;43,5;25,4;68,9;3,9;21,3;0;0
2/01/2013 14:00;64,2;0;4,8;0;153;18,6;0,5;35,4;24,2;59,6;5,5;21,3;0;0
2/01/2013 15:00;58,7;0;3,7;0;139;15,3;0,5;39,7;27,2;67;3,6;20,8;0;0
2/01/2013 16:00;54,3;0;3,8;0;170;13,5;0,7;52,7;29,6;82,3;4,2;21,4;0;0
2/01/2013 17:00;65,2;0;3,7;0;153;12,3;0,8;50,4;29,9;80,3;0;20,5;0;0
2/01/2013 18:00;59,7;0;3;0;137;8,7;1;61,4;34,3;95,6;4,8;18,8;0;0
