Fecha;PM10;PM2-5;Velo-viento;Precipitacion;Direccion;O3;CO;NO;NO2;NOX;SO2;Temperatura;Rdiacion;Humedad R
01-01-2013 01:00;47,3;0;2,7;0;84;11,8;0,2;0;0;0;0;9;0;60
01-01-2013 02:00;99,7;0;2,9;0;91;12,4;0,3;0;0;0;0;8,5;0;62
01-01-2013 03:00;56,8;0;1,8;0;105;11,7;0,3;0;0;0;0;7,8;0;65
01-01-2013 04:00;51,8;0;2,8;0;97;10,7;0,2;0;0;0;0;7,5;0;65
01-01-2013 05:00;49,8;0;3;0;92;13,8;0,1;0;0;0;0;7,4;0;64
01-01-2013 06:00;19;0;3,1;0;97;12,8;0,1;0;0;0;0;6,8;0;65
01-01-2013 07:00;19,5;0;1,7;0;86;10,5;0,2;0;0;0;0;7,6;44;63
01-01-2013 08:00;21,8;0;1,3;0;104;16,3;0,2;0;0;0;0;11;100;54
01-01-2013 09:00;19,3;0;2,9;0;140;22,3;0;0;0;0;0;13,4;325;46
01-01-2013 10:00;16,5;0;3,1;0;142;23,4;0;0;0;0;0;15,6;504;39
01-01-2013 11:00;19;0;3;0;130;23,9;0;0;0;0;0;16,7;583;36
01-01-2013 12:00;18,5;0;2,8;0;139;24;0;0;0;0;0;17,8;629;35
01-01-2013 13:00;16,8;0;2,9;0;132;24;0,1;0;0;0;0;18,4;604;34
01-01-2013 14:00;22,7;0;2,9;0;155;23,5;0,1;0;0;0;0;18,7;542;33
01-01-2013 15:00;31,5;0;2,4;0;144;25,5;0,1;0;0;0;0;18,4;370;34
01-01-2013 16:00;32,5;0;2,5;0;125;26,2;0,1;0;0;0;0;18;294;36
01-01-2013 17:00;25,3;0;2,9;0;131;26,6;0,1;0;0;0;0;16,9;135;39
01-01-2013 18:00;26,2;0;2,4;0;124;26,6;0,1;0;0;0;0;14,8;25;46
01-01-2013 19:00;22,8;0;1,5;0;125;23;0,2;0;0;0;0;12,4;0;54
01-01-2013 20:00;26,8;0;1,4;0;129;22,1;0,1;0;0;0;0;11,7;0;53
01-01-2013 21:00;27,2;0;2,8;0;135;23,2;0,1;0;0;0;0;11,6;0;50
01-01-2013 22:00;32;0;2,5;0;103;18,5;0,2;0;0;0;0;10;0;55
01-01-2013 23:00;26,5;0;2,5;0;109;16,9;0,1;0;0;0;0;9,3;0;60
01-01-2013 24:00;23;0;2,7;0;97;19,2;0,1;0;0;0;0;8,9;0;60
02-01-2013 01:00;17,2;0;3;0;96;16,4;0,1;0;0;0;0;7,6;0;64
02-01-2013 02:00;13,2;0;2,1;0;92;17,8;0;0;0;0;0;7,4;0;62
02-01-2013 03:00;14;0;3,1;0;96;18,7;0;0;0;0;0;7;0;61
02-01-2013 04:00;13,7;0;2,8;0;92;16,9;0;0;0;0;0;6,8;0;63
02-01-2013 05:00;12,8;0;2,3;0;108;16;0,1;0;0;0;0;7,7;0;60
02-01-2013 06:00;17,2;0;2,2;0;103;14,2;0,2;0;0;0;0;7,1;0;63
02-01-2013 07:00;18,8;0;1,8;0;111;11,8;0,3;0;0;0;0;8,1;34;62
02-01-2013 08:00;23,3;0;1,9;0;115;16;0,2;0;0;0;0;11,7;195;51
02-01-2013 09:00;23,8;0;3,2;0;126;21,5;0,1;0;0;0;0;12,6;167;49
02-01-2013 10:00;18;0;3;0;132;21,8;0,1;0;0;0;0;14,4;434;45
02-01-2013 11:00;17,3;0;2,1;0;129;21,1;0,1;0;0;0;0;16,8;564;41
02-01-2013 12:00;14,8;0;3,1;0;130;20,8;0,1;0;0;0;0;17,9;604;39
02-01-2013 13:00;17,8;0;2,8;0;123;20,9;0;0;0;0;0;18,7;623;38
02-01-2013 14:00;12,7;0;3,2;0;98;21;0,1;0;0;0;0;17,9;475;41
02-01-2013 15:00;16,5;0;2,7;0;125;20,8;0,1;0;0;0;0;16,9;213;43
02-01-2013 16:00;20,3;0;2,2;0;115;21,2;0;0;0;0;0;17,4;157;41
02-01-2013 17:00;26,2;0;3,3;0;104;21,4;0;0;0;0;0;16,8;124;43
02-01-2013 18:00;22,7;0;3,2;0;114;20,8;0,2;0;0;0;0;15,4;27;47
02-01-2013 19:00;26,7;0;3,8;0;103;17,6;0,3;0;0;0;0;13,1;0;54
02-01-2013 20:00;29;0;1,7;0;138;17;0,2;0;0;0;0;12,8;0;54
