Fecha;PM10;PM2-5;Velo-viento;Precipitacion;Direccion;O3;CO;NO;NO2;NOX;SO2;Temperatura;Rdiacion;Humedad R
01-01-2013 01:00;53,7;0;0,4;0;158;4,6;0,7;8,8;16,5;25,3;0;0;0;70,3
01-01-2013 02:00;98,8;0;0,3;0;200;4,6;0,7;4,2;13,1;17,3;0;0;0;71,2
01-01-2013 03:00;57,2;0;0,3;0;187;2,7;0,9;8,5;15,9;24,4;0;0;0;73,7
01-01-2013 04:00;50,2;0;0,5;0;176;7,1;0,7;2,5;13,5;16;0;0;0;73,3
01-01-2013 05:00;38,5;0;0,8;0;120;5,1;0,8;6;15,9;21,9;0;0;0;69,8
01-01-2013 06:00;50,2;0;0,5;0;169;3,5;0,7;5,6;17;22,6;0;0;1;69,9
01-01-2013 07:00;43,2;0;0,6;0;174;5,7;0,6;7,3;14;21,4;0;0;65;69,7
01-01-2013 08:00;28,3;0;0,7;0;179;10,8;0,5;7,2;10,1;17,2;0;0;236;56,7
01-01-2013 09:00;23,7;0;1,1;0;180;18,7;0,4;2,5;4,5;7;0;0;584;46,2
01-01-2013 10:00;15,8;0;1,2;0;175;21,5;0,4;1;2,6;3,6;0;0;771;39
01-01-2013 11:00;9,7;0;1,4;0;159;22,7;0,4;1,3;3;4,2;0;0;881;35,7
01-01-2013 12:00;10,2;0;2;0;140;23,4;0,4;1,7;3,5;5,2;0;0;976;33,9
01-01-2013 13:00;20,2;0;1,8;0;160;23,1;0,4;1,7;4;5,7;0;0;1026;32,9
01-01-2013 14:00;16,7;0;1,7;0;163;23,8;0,5;1,5;4;5,4;0;0;878;33,1
01-01-2013 15:00;20,8;0;1,5;0;172;25,5;0,5;1,5;4,3;5,8;0;0;625;33,6
01-01-2013 16:00;25,3;0;1,6;0;162;26,1;0,5;1,7;4,1;5,9;0;0;493;33,6
01-01-2013 17:00;26,8;0;1,9;0;149;25,7;0,6;2,4;5;7,4;0;0;236;35,3
01-01-2013 18:00;25,5;0;2;0;142;23,2;0,6;2,3;7,1;9,4;0;0;38;43,2
01-01-2013 19:00;24,3;0;1,3;0;154;17,6;0,6;2,9;10,8;13,7;0;0;0;54,5
01-01-2013 20:00;30,3;0;0,7;0;176;14,3;0,6;1,5;12,2;13,8;0;0;0;62,9
01-01-2013 21:00;25,5;0;0,6;0;233;14;0,6;0,9;10,8;11,7;0;0;0;65,9
01-01-2013 22:00;18;0;0,5;0;233;9,5;0,6;2,2;15,4;17,6;0;0;0;68,7
01-01-2013 23:00;18;0;0,7;0;224;11,4;0,5;0,9;10,6;11,5;0;0;0;71,8
01-01-2013 24:00;17,7;0;0,9;0;213;14,5;0,4;0,6;7,7;8,2;0;0;0;70,5
02-01-2013 01:00;14,8;0;0,7;0;207;14,2;0,4;0,6;8,7;9,3;0;0;0;62,4
02-01-2013 02:00;10,7;0;0,8;0;206;16,4;0,3;0,2;8,3;8,5;0;0;0;63,2
02-01-2013 03:00;19,7;0;0,7;0;168;16,3;0,4;1;7,7;8,6;0;0;0;64,3
02-01-2013 04:00;24,3;0;0,5;0;224;6;0,4;3,3;15,5;18,8;0;0;0;65,5
02-01-2013 05:00;32;0;0,8;0;207;3,8;0,5;7,8;20,8;28,6;0;0;0;65,2
02-01-2013 06:00;38,8;0;0,6;0;207;2,9;0,7;16,9;23,1;39,9;0;0;1;69,5
02-01-2013 07:00;50,3;0;0,6;0;277;1,1;1,1;55;22,5;77,5;0;0;33;69,6
02-01-2013 08:00;62,7;0;0,8;0;184;5,7;1,1;49;20,3;69,3;0;0;263;59,5
02-01-2013 09:00;60,5;0;1,2;0;191;12,7;0,7;13;13;26,1;0;0;249;51,1
02-01-2013 10:00;31,8;0;1,5;0;184;16,7;0,6;12,7;9,2;21,9;0;0;567;44,2
02-01-2013 11:00;25,3;0;1,9;0;190;18;0,5;5,5;5,3;10,8;0;0;884;39,3
02-01-2013 12:00;20,5;0;1,8;0;198;18,3;0,5;3,5;4,5;7,9;0;0;948;38,2
02-01-2013 13:00;14,2;0;1,7;0;207;19,1;0,5;3,2;4,2;7,5;0;0;980;37
02-01-2013 14:00;20;0;2,3;0;180;19;0,6;4,9;5;9,9;0;0;694;38
02-01-2013 15:00;20,7;0;1,8;0;187;17,4;0,6;6,1;6,2;12,3;0;0;291;40,7
02-01-2013 16:00;23,2;0;1,5;0;221;17,5;0,5;3,9;5,8;9,7;0;0;390;40,3
02-01-2013 17:00;18,5;0;1,4;0;210;16,9;0,6;4,6;7;11,5;0;0;219;40,1
02-01-2013 18:00;17,7;0;1,5;0;201;13,3;0,7;12,1;11,9;24;0;0;34;44,3
02-01-2013 19:00;27,5;0;0,8;0;243;9,9;0,7;3,9;15,8;19,7;0;0;0;54,9
02-01-2013 20:00;32;0;0,9;0;233;12;0,6;2,1;12;14,2;0;0;0;62,7
02-01-2013 21:00;18;0;0,8;0;244;9,2;0,6;2,5;13,2;15,6;0;0;0;67,4
02-01-2013 22:00;22,8;0;0,6;0;235;5,8;0,7;7,1;15,5;22,6;0;0;0;68,1
02-01-2013 23:00;21;0;0,6;0;222;1,7;0,7;12,8;17,2;30;0;0;0;68
02-01-2013 24:00;19;0;0,6;0;268;0,6;0,7;17,7;16,2;33,9;0;0;0;68,7
03-01-2013 01:00;30,7;0;0,4;0;246;1,4;0,4;5,2;14,1;19,4;0;0;0;69,1
03-01-2013 02:00;16,7;0;0,5;0;233;2,3;0,4;9,5;12,7;22,2;0;0;0;68,3
03-01-2013 03:00;28,3;0;0,4;0;263;1,9;0,4;4,7;13,1;17,8;0;0;0;67,2
03-01-2013 04:00;19,8;0;0,4;0;247;2,5;0,4;2,7;12,8;15,5;0;0;0;66,8
03-01-2013 05:00;20,5;0;0,4;0;237;0,8;0,5;15,6;17,2;32,8;0;0;0;71
